Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
0,137.439,-4.593,-4503
0.014,137.439,-4.593,-4503
0.029,137.439,-4.593,-4503
0.043,137.44,-4.593,-4503
0.058,137.44,-4.593,-4503
0.072,137.44,-4.593,-4503
0.087,137.44,-4.593,-4503
0.101,137.441,-4.593,-4503
0.115,137.441,-4.593,-4503
0.13,137.441,-4.593,-4503
0.144,137.441,-4.593,-4503
0.159,137.442,-4.593,-4503
0.173,137.442,-4.593,-4503
0.188,137.442,-4.593,-4503
0.202,137.442,-4.593,-4503
0.216,137.443,-4.593,-4503
0.231,137.443,-4.593,-4503
0.245,137.443,-4.593,-4503
0.26,137.443,-4.593,-4503
0.274,137.444,-4.593,-4503
0.289,137.444,-4.593,-4503
0.303,137.444,-4.593,-4503
0.317,137.444,-4.593,-4503
0.332,137.445,-4.593,-4503
0.346,137.445,-4.593,-4503
0.361,137.445,-4.593,-4503
0.375,137.445,-4.593,-4503
0.39,137.446,-4.593,-4509
0.404,137.446,-4.594,-4509
0.419,137.446,-4.594,-4509
0.433,137.446,-4.594,-4509
0.447,137.447,-4.594,-4509
0.462,137.447,-4.594,-4509
0.476,137.447,-4.594,-4509
0.491,137.447,-4.594,-4509
0.505,137.447,-4.594,-4509
0.52,137.448,-4.594,-4509
0.534,137.448,-4.594,-4509
0.548,137.448,-4.594,-4505
0.563,137.448,-4.594,-4505
0.577,137.449,-4.594,-4505
0.592,137.449,-4.594,-4505
0.606,137.449,-4.594,-4505
0.621,137.449,-4.594,-4505
0.635,137.45,-4.594,-4505
0.649,137.45,-4.594,-4505
0.664,137.45,-4.594,-4505
0.678,137.45,-4.594,-4505
0.693,137.451,-4.594,-4505
0.707,137.451,-4.594,-4505
0.722,137.451,-4.594,-4505
0.736,137.451,-4.594,-4505
0.75,137.452,-4.594,-4505
0.765,137.452,-4.594,-4505
0.779,137.452,-4.594,-4505
0.794,137.452,-4.594,-4505
0.808,137.453,-4.594,-4505
0.823,137.453,-4.594,-4505
0.837,137.453,-4.594,-4505
0.851,137.453,-4.594,-4506
0.866,137.454,-4.594,-4506
0.88,137.454,-4.594,-4506
0.895,137.454,-4.594,-4506
0.909,137.454,-4.594,-4506
0.924,137.455,-4.594,-4506
0.938,137.455,-4.594,-4506
0.952,137.455,-4.595,-4506
0.967,137.455,-4.595,-4506
0.981,137.456,-4.595,-4506
0.996,137.456,-4.595,-4506
1.01,137.456,-4.595,-4506
1.025,137.456,-4.595,-4506
1.039,137.457,-4.595,-4506
1.053,137.457,-4.595,-4506
1.068,137.457,-4.595,-4506
1.082,137.457,-4.595,-4506
1.097,137.457,-4.595,-4506
1.111,137.458,-4.595,-4506
1.126,137.458,-4.595,-4506
1.14,137.458,-4.595,-4506
1.155,137.458,-4.595,-4506
1.169,137.459,-4.595,-4506
1.183,137.459,-4.595,-4506
1.198,137.459,-4.595,-4506
1.212,137.459,-4.595,-4506
1.227,137.46,-4.595,-4506
1.241,137.46,-4.595,-4506
1.256,137.46,-4.595,-4506
1.27,137.46,-4.595,-4506
1.284,137.461,-4.595,-4506
1.299,137.461,-4.595,-4506
1.313,137.461,-4.595,-4507
1.328,137.461,-4.595,-4507
1.342,137.462,-4.595,-4507
1.357,137.462,-4.595,-4507
1.371,137.462,-4.595,-4507
1.385,137.462,-4.595,-4507
1.4,137.463,-4.595,-4507
1.414,137.463,-4.595,-4507
1.429,137.463,-4.595,-4507
1.443,137.463,-4.595,-4507
1.458,137.464,-4.595,-4507
1.472,137.464,-4.595,-4507
1.486,137.464,-4.595,-4507
1.501,137.464,-4.595,-4507
1.515,137.465,-4.596,-4507
1.53,137.465,-4.596,-4507
1.544,137.465,-4.596,-4507
1.559,137.465,-4.596,-4507
1.573,137.466,-4.596,-4507
1.587,137.466,-4.596,-4507
1.602,137.466,-4.596,-4507
1.616,137.466,-4.596,-4507
1.631,137.466,-4.596,-4507
1.645,137.467,-4.596,-4507
1.66,137.467,-4.596,-4507
1.674,137.467,-4.596,-4507
1.688,137.467,-4.596,-4507
1.703,137.468,-4.596,-4507
1.717,137.468,-4.596,-4507
1.732,137.468,-4.596,-4507
1.746,137.468,-4.596,-4507
1.761,137.469,-4.596,-4507
1.775,137.469,-4.596,-4508
1.789,137.469,-4.596,-4508
1.804,137.469,-4.596,-4508
1.818,137.47,-4.596,-4508
1.833,137.47,-4.596,-4508
1.847,137.47,-4.596,-4508
1.862,137.47,-4.596,-4508
1.876,137.471,-4.596,-4508
1.891,137.471,-4.596,-4508
1.905,137.471,-4.596,-4508
1.919,137.471,-4.596,-4508
1.934,137.472,-4.596,-4508
1.948,137.472,-4.596,-4508
1.963,137.472,-4.596,-4508
1.977,137.472,-4.596,-4508
1.992,137.473,-4.596,-4508
2.006,137.473,-4.596,-4508
2.02,137.473,-4.596,-4508
2.035,137.473,-4.596,-4508
2.049,137.474,-4.596,-4508
2.064,137.474,-4.597,-4508
2.078,137.474,-4.597,-4508
2.093,137.474,-4.597,-4508
2.107,137.475,-4.597,-4508
2.121,137.475,-4.597,-4508
2.136,137.475,-4.597,-4508
2.15,137.475,-4.597,-4508
2.165,137.476,-4.597,-4508
2.179,137.476,-4.597,-4508
2.194,137.476,-4.597,-4508
2.208,137.476,-4.597,-4508
2.222,137.476,-4.597,-4508
2.237,137.477,-4.597,-4510
2.251,137.477,-4.597,-4510
2.266,137.477,-4.597,-4510
2.28,137.477,-4.597,-4510
2.295,137.478,-4.597,-4510
2.309,137.478,-4.597,-4510
2.323,137.478,-4.597,-4510
2.338,137.478,-4.597,-4510
2.352,137.479,-4.597,-4510
2.367,137.479,-4.597,-4510
2.381,137.479,-4.597,-4510
2.396,137.479,-4.597,-4510
2.41,137.48,-4.597,-4510
2.424,137.48,-4.597,-4510
2.439,137.48,-4.597,-4510
2.453,137.48,-4.597,-4510
2.468,137.481,-4.597,-4510
2.482,137.481,-4.597,-4510
2.497,137.481,-4.597,-4510
2.511,137.481,-4.597,-4510
2.525,137.482,-4.597,-4510
2.54,137.482,-4.597,-4510
2.554,137.482,-4.597,-4510
2.569,137.482,-4.597,-4510
2.583,137.483,-4.597,-4510
2.598,137.483,-4.597,-4510
2.612,137.483,-4.598,-4510
2.627,137.483,-4.598,-4510
2.641,137.484,-4.598,-4510
2.655,137.484,-4.598,-4510
2.67,137.484,-4.598,-4510
2.684,137.484,-4.598,-4510
2.699,137.485,-4.598,-4514
2.713,137.485,-4.598,-4514
2.728,137.485,-4.598,-4514
2.742,137.485,-4.598,-4514
2.756,137.485,-4.598,-4514
2.771,137.486,-4.598,-4514
2.785,137.486,-4.598,-4514
2.8,137.486,-4.598,-4514
2.814,137.486,-4.598,-4514
2.829,137.487,-4.598,-4514
2.843,137.487,-4.598,-4514
2.857,137.487,-4.598,-4514
2.872,137.487,-4.598,-4514
2.886,137.488,-4.598,-4514
2.901,137.488,-4.598,-4514
2.915,137.488,-4.598,-4514
2.93,137.488,-4.598,-4514
2.944,137.489,-4.598,-4514
2.958,137.489,-4.598,-4514
2.973,137.489,-4.598,-4514
2.987,137.489,-4.598,-4514
3.002,137.49,-4.598,-4514
3.016,137.49,-4.598,-4514
3.031,137.49,-4.598,-4514
3.045,137.49,-4.598,-4514
3.059,137.491,-4.598,-4514
3.074,137.491,-4.598,-4514
3.088,137.491,-4.598,-4514
3.103,137.491,-4.598,-4514
3.117,137.492,-4.598,-4514
3.132,137.492,-4.598,-4514
3.146,137.492,-4.598,-4514
3.16,137.492,-4.599,-4508
3.175,137.493,-4.599,-4508
3.189,137.493,-4.599,-4508
3.204,137.493,-4.599,-4508
3.218,137.493,-4.599,-4508
3.233,137.494,-4.599,-4508
3.247,137.494,-4.599,-4508
3.261,137.494,-4.599,-4508
3.276,137.494,-4.599,-4508
3.29,137.494,-4.599,-4508
3.305,137.495,-4.599,-4508
3.319,137.495,-4.599,-4508
3.334,137.495,-4.599,-4508
3.348,137.495,-4.599,-4508
3.363,137.496,-4.599,-4508
3.377,137.496,-4.599,-4508
3.391,137.496,-4.599,-4508
3.406,137.496,-4.599,-4508
3.42,137.497,-4.599,-4508
3.435,137.497,-4.599,-4508
3.449,137.497,-4.599,-4508
3.464,137.497,-4.599,-4508
3.478,137.498,-4.599,-4508
3.492,137.498,-4.599,-4508
3.507,137.498,-4.599,-4508
3.521,137.498,-4.599,-4508
3.536,137.499,-4.599,-4508
3.55,137.499,-4.599,-4508
3.565,137.499,-4.599,-4508
3.579,137.499,-4.599,-4508
3.593,137.5,-4.599,-4508
3.608,137.5,-4.599,-4508
3.622,137.5,-4.599,-4501
3.637,137.5,-4.599,-4501
3.651,137.501,-4.599,-4501
3.666,137.501,-4.599,-4501
3.68,137.501,-4.599,-4501
3.694,137.501,-4.599,-4501
3.709,137.502,-4.6,-4501
3.723,137.502,-4.6,-4501
3.738,137.502,-4.6,-4501
3.752,137.502,-4.6,-4501
3.767,137.503,-4.6,-4501
3.781,137.503,-4.6,-4501
3.795,137.503,-4.6,-4501
3.81,137.503,-4.6,-4501
3.824,137.504,-4.6,-4501
3.839,137.504,-4.6,-4501
3.853,137.504,-4.6,-4501
3.868,137.504,-4.6,-4501
3.882,137.504,-4.6,-4501
3.896,137.505,-4.6,-4501
3.911,137.505,-4.6,-4501
3.925,137.505,-4.6,-4501
3.94,137.505,-4.6,-4501
3.954,137.506,-4.6,-4501
3.969,137.506,-4.6,-4501
3.983,137.506,-4.6,-4501
3.997,137.506,-4.6,-4501
4.012,137.507,-4.6,-4501
4.026,137.507,-4.6,-4501
4.041,137.507,-4.6,-4501
4.055,137.507,-4.6,-4501
4.07,137.508,-4.6,-4501
4.084,137.508,-4.6,-4496
4.098,137.508,-4.6,-4496
4.113,137.508,-4.6,-4496
4.127,137.509,-4.6,-4496
4.142,137.509,-4.6,-4496
4.156,137.509,-4.6,-4496
4.171,137.509,-4.6,-4496
4.185,137.51,-4.6,-4496
4.2,137.51,-4.6,-4496
4.214,137.51,-4.6,-4496
4.228,137.51,-4.6,-4496
4.243,137.511,-4.6,-4496
4.257,137.511,-4.601,-4496
4.272,137.511,-4.601,-4496
4.286,137.511,-4.601,-4496
4.301,137.512,-4.601,-4496
4.315,137.512,-4.601,-4496
4.329,137.512,-4.601,-4496
4.344,137.512,-4.601,-4496
4.358,137.513,-4.601,-4496
4.373,137.513,-4.601,-4496
4.387,137.513,-4.601,-4496
4.402,137.513,-4.601,-4496
4.416,137.513,-4.601,-4496
4.43,137.514,-4.601,-4496
4.445,137.514,-4.601,-4496
4.459,137.514,-4.601,-4496
4.474,137.514,-4.601,-4496
4.488,137.515,-4.601,-4496
4.503,137.515,-4.601,-4496
4.517,137.515,-4.601,-4496
4.531,137.515,-4.601,-4496
4.546,137.516,-4.601,-4495
4.56,137.516,-4.601,-4495
4.575,137.516,-4.601,-4495
4.589,137.516,-4.601,-4495
4.604,137.517,-4.601,-4495
4.618,137.517,-4.601,-4495
4.632,137.517,-4.601,-4495
4.647,137.517,-4.601,-4495
4.661,137.518,-4.601,-4495
4.676,137.518,-4.601,-4495
4.69,137.518,-4.601,-4495
4.705,137.518,-4.601,-4495
4.719,137.519,-4.601,-4495
4.733,137.519,-4.601,-4495
4.748,137.519,-4.601,-4495
4.762,137.519,-4.601,-4495
4.777,137.52,-4.601,-4495
4.791,137.52,-4.601,-4495
4.806,137.52,-4.602,-4495
4.82,137.52,-4.602,-4495
4.834,137.521,-4.602,-4495
4.849,137.521,-4.602,-4473
4.863,137.521,-4.602,-4473
4.878,137.521,-4.602,-4473
4.892,137.522,-4.602,-4473
4.907,137.522,-4.602,-4473
4.921,137.522,-4.602,-4473
4.936,137.522,-4.602,-4473
4.95,137.523,-4.602,-4473
4.964,137.523,-4.602,-4473
4.979,137.523,-4.602,-4473
4.993,137.523,-4.602,-4473
5.008,137.523,-4.602,-4468
5.022,137.524,-4.602,-4468
5.037,137.524,-4.602,-4468
5.051,137.524,-4.602,-4468
5.065,137.524,-4.602,-4468
5.08,137.525,-4.602,-4468
5.094,137.525,-4.602,-4468
5.109,137.525,-4.602,-4468
5.123,137.525,-4.602,-4468
5.138,137.526,-4.602,-4468
5.152,137.526,-4.602,-4468
5.166,137.526,-4.602,-4468
5.181,137.526,-4.602,-4468
5.195,137.527,-4.602,-4468
5.21,137.527,-4.602,-4468
5.224,137.527,-4.602,-4468
5.239,137.527,-4.602,-4468
5.253,137.528,-4.602,-4468
5.267,137.528,-4.602,-4468
5.282,137.528,-4.602,-4468
5.296,137.528,-4.602,-4468
5.311,137.529,-4.602,-4468
5.325,137.529,-4.602,-4468
5.34,137.529,-4.602,-4468
5.354,137.529,-4.602,-4468
5.368,137.53,-4.603,-4468
5.383,137.53,-4.603,-4468
5.397,137.53,-4.603,-4468
5.412,137.53,-4.603,-4468
5.426,137.531,-4.603,-4468
5.441,137.531,-4.603,-4468
5.455,137.531,-4.603,-4468
5.469,137.531,-4.603,-4452
5.484,137.532,-4.603,-4452
5.498,137.532,-4.603,-4452
5.513,137.532,-4.603,-4452
5.527,137.532,-4.603,-4452
5.542,137.532,-4.603,-4452
5.556,137.533,-4.603,-4452
5.57,137.533,-4.603,-4452
5.585,137.533,-4.603,-4452
5.599,137.533,-4.603,-4452
5.614,137.534,-4.603,-4452
5.628,137.534,-4.603,-4452
5.643,137.534,-4.603,-4452
5.657,137.534,-4.603,-4452
5.672,137.535,-4.603,-4452
5.686,137.535,-4.603,-4452
5.7,137.535,-4.603,-4452
5.715,137.535,-4.603,-4452
5.729,137.536,-4.603,-4452
5.744,137.536,-4.603,-4452
5.758,137.536,-4.603,-4452
5.773,137.536,-4.603,-4452
5.787,137.537,-4.603,-4452
5.801,137.537,-4.603,-4452
5.816,137.537,-4.603,-4452
5.83,137.537,-4.603,-4452
5.845,137.538,-4.603,-4452
5.859,137.538,-4.603,-4452
5.874,137.538,-4.603,-4452
5.888,137.538,-4.603,-4452
5.902,137.539,-4.603,-4452
5.917,137.539,-4.604,-4452
5.931,137.539,-4.604,-4435
5.946,137.539,-4.604,-4435
5.96,137.54,-4.604,-4435
5.975,137.54,-4.604,-4435
5.989,137.54,-4.604,-4435
6.003,137.54,-4.604,-4435
6.018,137.541,-4.604,-4435
6.032,137.541,-4.604,-4435
6.047,137.541,-4.604,-4435
6.061,137.541,-4.604,-4435
6.076,137.542,-4.604,-4435
6.09,137.542,-4.604,-4435
6.104,137.542,-4.604,-4435
6.119,137.542,-4.604,-4435
6.133,137.542,-4.604,-4435
6.148,137.543,-4.604,-4435
6.162,137.543,-4.604,-4435
6.177,137.543,-4.604,-4435
6.191,137.543,-4.604,-4435
6.205,137.544,-4.604,-4435
